accelpedalpos:,ExhaustT:,Wheelspeed:,Instfuelecon:,EngTq:,Support,Count,Kvalue,IsOver
.,.,0 1 1,.,.,0.010762953732363228,1071,2.2469034182518413,0
.,.,.,0 0 0,.,0.5581963259235438,55545,2.1840062508677875,0
.,.,0 1 1,0 0 0,.,0.010722755959319853,1067,2.2496505026198896,0
.,.,1 1 1,.,.,0.00834103790649998,830,1.9614158948741591,0
.,.,.,0 0 1,.,0.026992804598625235,2686,1.9276754637316635,0
.,.,.,1 0 0,.,0.01869196446516863,1860,1.5808891525218312,0
2 2 2,.,.,.,.,0.015405796518872854,1533,1.867545538163768,0
.,.,.,.,1 1 1,0.09891667001648109,9843,1.9739477757623465,0
2 2 2,.,.,.,1 1 1,0.0048840294247698675,486,2.102782003716682,0
.,.,1 1 1,0 0 0,.,0.008059653495196367,802,1.9689972758368453,0
.,.,.,0 0 0,1 1 1,0.08981187442215702,8937,1.9597277595558649,0
.,.,.,.,4 3 2,0.00420066728303252,418,2.263216321018378,0
4 3 3,.,.,.,.,0.009577119427583712,953,2.343182621283752,0
.,.,1 1 2,.,.,0.011978936366925272,1192,2.1597044982633116,0
.,.,.,.,3 2 1,0.004512200024118664,449,2.15100770869232,0
4 3 3,.,.,0 0 0,.,0.007215500261285525,718,2.449120968179777,0
.,.,1 1 2,0 0 0,.,0.011898540820838525,1184,2.168376372083439,0
3 3 2,.,.,.,.,0.007808417413675282,777,2.037876682734394,0
.,.,1 2 2,.,.,0.015858021465610807,1578,2.078947148937133,0
.,.,.,.,2 1 0,0.004683040559553001,466,1.7763168039619182,0
.,.,1 2 2,0 0 0,.,0.015697230373437312,1562,2.090328877319459,0
.,9 9 9,.,.,.,0.006079913172810226,605,2.6855791406381853,0
.,.,2 2 2,.,.,0.016460988061261405,1638,1.9252710512251765,0
.,9 9 9,.,0 0 0,.,0.005607589339550589,558,2.7201989286122887,0
.,.,2 2 2,0 0 0,.,0.014812879366483097,1474,2.021346192831271,0
.,.,2 2 3,.,.,0.018983398319733086,1889,2.1696345447179377,1
.,.,2 2 3,0 0 0,.,0.018561321702777665,1847,2.18385205968079,0
4 4 4,.,.,.,.,0.01808899786951803,1800,2.4599516368219314,0
.,.,2 3 3,.,.,0.021053583631466817,2095,2.276699885635705,0
.,.,.,.,4 4 3,0.005165413836073482,514,2.2520984357021745,0
4 4 4,.,.,0 0 0,.,0.016883064678216826,1680,2.4847889495921307,0
.,.,2 3 3,0 0 0,.,0.020480765365598747,2038,2.307305919501716,0
.,.,.,0 0 0,4 4 3,0.004974474414117458,495,2.256349110201646,0
4 4 3,.,.,.,.,0.008351087349760823,831,2.3007876853577933,0
.,.,3 3 3,.,.,0.025334646460586082,2521,2.059326978110044,0
4 4 3,.,.,0 0 0,.,0.007044659725851188,701,2.3821014701205474,0
.,.,3 3 3,0 0 0,.,0.02012903485146923,2003,2.2309426594373885,0
3 3 3,.,.,.,.,0.021566105237769827,2146,2.3869874152397434,0
.,.,.,.,2 1 1,0.00897415283193311,893,2.3238102932109883,0
3 3 3,.,.,0 0 0,.,0.014782731036700567,1471,2.410647111429005,0
.,.,.,0 0 0,2 1 1,0.004210716726293364,419,2.517508007942127,0
.,8 8 8,.,.,.,0.016179603649957793,1610,2.4947357191866506,0
.,8 8 8,.,0 0 0,.,0.014631989387787916,1456,2.539667349990704,0
.,.,.,.,1 1 0,0.006019616513245166,599,1.761154434550264,0
.,7 7 7,.,.,.,0.030912087470354142,3076,2.397828884285957,0
.,.,.,.,3 3 3,0.010984041484101781,1093,2.381340669031101,0
.,7 7 7,.,0 0 0,.,0.02627929412710536,2615,2.451803089416314,0
.,.,.,0 0 0,3 3 3,0.010300679342364434,1025,2.392502961752981,0
.,7 7 8,.,.,.,0.004210716726293364,419,2.4448288540318988,1
.,7 7 8,.,0 0 0,.,0.004180568396510834,416,2.4641621515116854,1
.,.,.,.,3 3 2,0.006381396470635527,635,2.3060262183677738,0
.,.,.,0 0 0,3 3 2,0.005607589339550589,558,2.3643430556483325,0
.,.,.,.,3 2 2,0.007064758612372875,703,2.357672119187658,0
.,.,.,0 0 0,3 2 2,0.00608996261607107,606,2.4135836852743497,0
.,.,.,.,2 2 2,0.023485548900590906,2337,2.410059965426305,0
.,.,.,0 0 0,2 2 2,0.019988342645817423,1989,2.411024887893328,0
2 3 3,.,.,.,.,0.0045825461269445675,456,1.8892104622673496,1
.,.,.,.,2 2 1,0.007557181332154199,752,2.23429344874248,0
.,.,.,0 0 0,2 2 1,0.0041202717369457735,410,2.288699130337677,0
3 2 2,.,.,.,.,0.008923905615628894,888,2.078293114096959,0
.,.,.,.,1 0 0,0.006230654821722877,620,1.588114216280088,0
.,7 7 6,.,.,.,0.0042207661695542065,420,2.0281146296824755,1
.,.,.,.,0 0 0,0.009546971097801182,950,1.574219626164606,0
.,.,.,0 1 1,.,0.010752904289102383,1070,2.1179874089697543,0
.,6 6 6,.,.,.,0.04641837842183543,4619,2.2817339617652403,0
.,6 6 6,.,0 0 0,.,0.037112593962294486,3693,2.3262460501722453,0
.,.,.,.,6 6 5,0.004763436105639747,474,2.3028212276352726,0
.,.,.,0 0 0,6 6 5,0.004723238332596374,470,2.3161049267968363,0
6 6 6,.,.,.,.,0.009225388913454195,918,2.204566909132787,0
6 6 6,.,.,0 0 0,.,0.00915504281062829,911,2.211019558651412,0
.,.,.,.,5 5 6,0.006100012059331913,607,2.2616054526791403,0
.,.,.,0 0 0,5 5 6,0.006079913172810226,605,2.261915020143825,0
.,.,.,.,5 6 6,0.0072657474775897415,723,2.2939484707115443,0
.,.,.,0 0 0,5 6 6,0.0072355991478072115,720,2.301885628544955,0
.,.,3 3 4,.,.,0.01831008562125658,1822,2.379339935230689,0
.,.,3 3 4,0 0 0,.,0.017867910117779474,1778,2.406452697674927,0
.,.,3 4 4,.,.,0.02172689632994332,2162,2.3954582150711734,0
.,.,3 4 4,0 0 0,.,0.021214374723640312,2111,2.4237864435258154,0
5 4 4,.,.,.,.,0.007486835229328295,745,2.2776879054568027,0
.,.,4 4 4,.,.,0.045684769063793866,4546,2.1348544639863207,0
5 4 4,.,.,0 0 0,.,0.007024560839329501,699,2.2904020314763214,0
.,.,4 4 4,0 0 0,.,0.035092655866864976,3492,2.3353348610466216,0
.,.,0 0 1,.,.,0.009376130562366846,933,2.305617743597541,0
.,.,.,.,5 5 5,0.0072657474775897415,723,2.1842097617610228,0
.,.,0 0 1,0 0 0,.,0.009366081119106001,932,2.306184916562542,0
.,.,.,0 0 0,5 5 5,0.007245648591068055,721,2.187589978740786,0
.,.,0 1 2,.,.,0.006351248140852997,632,1.932706378003669,0
.,.,0 1 2,0 0 0,.,0.006351248140852997,632,1.932706378003669,0
5 5 5,.,.,.,.,0.011295574225187925,1124,2.18532605521494,0
5 5 5,.,.,0 0 0,.,0.011014189813884311,1096,2.191393683747181,0
5 5 4,.,.,.,.,0.00636129758411384,633,2.2059127558324128,0
5 5 4,.,.,0 0 0,.,0.006049764843027696,602,2.213897398600573,0
.,.,.,.,4 3 3,0.005044820516943362,502,2.229620280943576,0
.,.,.,0 0 0,4 3 3,0.004753386662378904,473,2.2398823837931507,0
4 4 4,.,.,.,3 3 3,0.008200345700848172,816,2.4146684186325515,0
4 4 4,.,.,0 0 0,3 3 3,0.007788318527153596,775,2.418619339684556,0
3 3 3,.,.,.,2 2 2,0.01056196486714636,1051,2.4262090993966017,0
3 3 3,.,.,0 0 0,2 2 2,0.008592273988021063,855,2.398423807762283,0
7 7 6,.,.,.,.,0.004059975077380713,404,2.4181424784714682,0
.,.,1 2 3,.,.,0.005024721630421674,500,2.2753130657566807,0
.,.,.,.,5 5 4,0.004180568396510834,416,2.2711379152310576,0
7 7 6,.,.,0 0 0,.,0.004039876190859026,402,2.4311814424550797,0
.,.,1 2 3,0 0 0,.,0.005004622743899988,498,2.280974690914861,0
.,.,.,0 0 0,5 5 4,0.0041202717369457735,410,2.2918570681419377,0
6 5 5,.,.,.,.,0.005034771073682518,501,2.20730052518132,0
6 5 5,.,.,0 0 0,.,0.004954375527595771,493,2.210159417781018,0
