55255
4
engrpm,800,1800,100,10;EGRkgph,0,200,20,11;MSPhum,40,80,4,12;EngTq,0,1400,140,13
Iteration,Year,Month,Day,Latitude,Longitude,RelativeError,NOxTheoryppm,AbsError,pass,engrpm,EGRkgph,MSPhum,EngTq
3522057237,2015,8,10,44.9483,-93.0834,91.3237,589.008,396.285,1,2,0,7,3
3522057238,2015,8,10,44.9483,-93.0834,65.2116,539.598,257.575,1,1,0,7,3
3522057239,2015,8,10,44.9483,-93.0834,81.8015,515.913,247.18,1,3,1,7,4
3522057240,2015,8,10,44.9483,-93.0833,13.6293,452.549,83.0529,1,3,1,7,3
3522057241,2015,8,10,44.9482,-93.0833,7.19564,456.701,34.6657,1,1,3,7,3
3522057242,2015,8,10,44.9482,-93.0833,5.48646,457.142,156.255,1,0,3,7,3
3522057244,2015,8,10,44.9481,-93.0833,13.69,583.46,17.6868,1,5,0,7,5
3522057245,2015,8,10,44.9481,-93.0833,8.39565,571.793,28.721,1,5,0,7,5
3522057246,2015,8,10,44.948,-93.0833,6.85953,656.128,105.931,1,7,3,7,6
3522057247,2015,8,10,44.948,-93.0834,8.06905,629.948,144.126,1,7,4,7,7
3522057248,2015,8,10,44.948,-93.0834,1.0473,607.933,239.188,1,8,6,7,6
3522057249,2015,8,10,44.948,-93.0835,17.5942,572.675,211.788,1,7,7,7,5
3522057250,2015,8,10,44.9479,-93.0836,14.6996,478.251,103.534,1,4,0,7,4
3522057251,2015,8,10,44.9479,-93.0836,24.6447,498.428,23.2079,1,3,0,7,4
3522057252,2015,8,10,44.9479,-93.0837,24.9753,479.322,15.4363,1,3,3,7,3
3522057253,2015,8,10,44.9479,-93.0838,19.2688,442.593,43.9712,1,2,3,7,2
3522057254,2015,8,10,44.9478,-93.0838,1.10929,431.706,169.613,1,2,5,7,2
3522057255,2015,8,10,44.9478,-93.0839,10.1404,199.584,18.2604,1,2,4,7,1
